Group 1,available
Group 2 too long really - very very long name,available
Group 3,available
shrt,available
Group 5,available
Group 6,availablexxxxxx
Group 7,available
Group 8,available
Group 9,available
Group 10,available
Group 11,available
Group 12,available
Group 13,available
Group 14,available
Group 15,available
Group 16,available
Group 17,available
Group 18,available
Group 19,available
Group 20,available
Group 21,available
Group 22,available
Group 23,available
Group 24,available
Group 25,available
Group 26,available
Group 27,available
Group 28,available
Group 29,available
Group 30,available
Group 31,available
Group 32,available
Group 33,available
Group 34,available
Group 35,available
Group 36,available
Group 37,available
Group 38,available
Group 39,available
Group 40,available
Group 41,available
Group 42,available
,available
